glsc3,32,1,3.900496e-06
sum,32,1,3.231050e-06
dot,32,1,3.563212e-06
glsc3,32,2,3.904334e-06
sum,32,2,3.254092e-06
dot,32,2,3.547534e-06
glsc3,32,3,3.861134e-06
sum,32,3,3.232652e-06
dot,32,3,3.571214e-06
glsc3,32,4,3.840656e-06
sum,32,4,3.239374e-06
dot,32,4,3.564492e-06
glsc3,32,5,3.903694e-06
sum,32,5,3.240652e-06
dot,32,5,3.539214e-06
glsc3,32,6,3.872334e-06
sum,32,6,3.244812e-06
dot,32,6,3.560334e-06
glsc3,32,7,3.907216e-06
sum,32,7,3.260492e-06
dot,32,7,3.546252e-06
glsc3,32,8,3.871054e-06
sum,32,8,3.252812e-06
dot,32,8,3.550414e-06
glsc3,32,9,3.871054e-06
sum,32,9,3.251532e-06
dot,32,9,3.549132e-06
glsc3,32,10,3.925456e-06
sum,32,10,3.254732e-06
dot,32,10,3.576014e-06
glsc3,32,11,3.863374e-06
sum,32,11,3.252172e-06
dot,32,11,3.579214e-06
glsc3,32,12,3.867214e-06
sum,32,12,3.253772e-06
dot,32,12,3.600014e-06
glsc3,32,13,3.864976e-06
sum,32,13,3.251852e-06
dot,32,13,3.585932e-06
glsc3,32,14,3.943376e-06
sum,32,14,3.244812e-06
dot,32,14,3.561934e-06
glsc3,32,15,3.865934e-06
sum,32,15,3.257292e-06
dot,32,15,3.606414e-06
glsc3,32,16,3.869454e-06
sum,32,16,3.270412e-06
dot,32,16,3.624974e-06
glsc3,32,17,3.916814e-06
sum,32,17,3.257932e-06
dot,32,17,3.579854e-06
glsc3,32,18,3.879054e-06
sum,32,18,3.248652e-06
dot,32,18,3.582094e-06
glsc3,32,19,3.883536e-06
sum,32,19,3.261132e-06
dot,32,19,3.586572e-06
glsc3,32,20,3.899216e-06
sum,32,20,3.255692e-06
dot,32,20,3.618894e-06
glsc3,32,21,3.944336e-06
sum,32,21,3.254732e-06
dot,32,21,3.600654e-06
glsc3,32,22,3.947856e-06
sum,32,22,3.252492e-06
dot,32,22,3.590092e-06
glsc3,32,23,3.899216e-06
sum,32,23,3.291532e-06
dot,32,23,3.578892e-06
glsc3,32,24,3.938896e-06
sum,32,24,3.286414e-06
dot,32,24,3.627852e-06
glsc3,32,25,3.903376e-06
sum,32,25,3.251532e-06
dot,32,25,3.581452e-06
glsc3,32,26,3.913936e-06
sum,32,26,3.262412e-06
dot,32,26,3.573134e-06
glsc3,32,27,3.930576e-06
